"","Entity","CUI","Freq","Tid","Tname"
"2680","functional deficits","C0347530",3,"T033","Finding"
"2686","gastrointestinal dysfunction","C0679407",3,"T047","Disease or Syndrome"
"2691","resistance to changes","C0424271",3,"T033","Finding"
"2692","residual schizophrenia","C0036351",3,"T048","Mental or Behavioral Dysfunction"
"2695","distinct disorders","C2673557",3,"T033","Finding"
"2696","gastrointestinal distress","C0548823",3,"T184","Sign or Symptom"
"2697","dizygotic (dz) twins","C0220761",3,"T033","Finding"
"2700","repetitive behavior symptoms","C1827547",3,"T033","Finding"
"2701","repetitive behavior scores","C1827547",3,"T033","Finding"
"2714","developmental neurological disorders","C0349331",3,"T048","Mental or Behavioral Dysfunction"
"2717","developmental trajectories","C4062078",3,"T033","Finding"
"2718","secondary outcomes developmental quotient","C2015883",3,"T033","Finding"
"2719","secondary mitochondrial dysfunction","C4021734",3,"T033","Finding"
"2720","second block","C0264906",3,"T047","Disease or Syndrome"
"2724","sdq-adhd adhd","C1263846",3,"T048","Mental or Behavioral Dysfunction"
"2727","pb, problem behavior","C0233514",3,"T048","Mental or Behavioral Dysfunction"
"2730","different mental disorders","C0004936",3,"T048","Mental or Behavioral Dysfunction"
"2732","developmental conditions","C3476069",3,"T033","Finding"
"2737","depression event","C1999266",3,"T033","Finding"
"2738","depression mood","C0344315",3,"T048","Mental or Behavioral Dysfunction"
"2739","partial pincer grasp","C2182617",3,"T033","Finding"
"2742","depression-like behavior","C0339017",3,"T048","Mental or Behavioral Dysfunction"
"2743","depression-like symptoms","C0086132",3,"T184","Sign or Symptom"
"2744","participants’ gaze judgments","C0022423",3,"T041","Mental Process"
"2748","self-stimulatory behaviors","C1839750",3,"T033","Finding"
"2749","self-stigma process","C0277787",3,"T033","Finding"
"2750","particular disease","C0424431",3,"T033","Finding"
"2751","particular disorder","C0267976",3,"T047","Disease or Syndrome"
"2754","self-injurious grooming","C1998993",3,"T033","Finding"
"2756","global imbalance","C1397014",3,"T184","Sign or Symptom"
"2758","personality disorder","C0009084",3,"T048","Mental or Behavioral Dysfunction"
"2761","difficulty communicating","C0566003",3,"T033","Finding"
"2762","difficulty displaying emotions","C0563718",3,"T033","Finding"
"2765","personal distress","C0233854",3,"T048","Mental or Behavioral Dysfunction"
"2769","perinatal complications","C4060932",3,"T033","Finding"
"2773","genetic links","C1563751",3,"T047","Disease or Syndrome"
"2776","pervasive development disorders","C0524528",3,"T048","Mental or Behavioral Dysfunction"
"2783","schizophrenic characteristics","C3825704",3,"T048","Mental or Behavioral Dysfunction"
"2786","schizophrenia subtypes","C0036341",3,"T048","Mental or Behavioral Dysfunction"
"2788","difficult discriminations","C0332218",3,"T033","Finding"
"2790","difficulties in communication","C0566003",3,"T033","Finding"
"2791","gi comorbidities","C0009488",3,"T033","Finding"
"2795","gestural ija behaviors","C0017510",3,"T054","Social Behavior"
"2796","gestural behaviors","C0017510",3,"T054","Social Behavior"
"2797","gestational diabetes mellitus","C0085207",3,"T047","Disease or Syndrome"
"2802","perforated acrylic tube","C1557983",3,"T047","Disease or Syndrome"
"2804","dummy variables","C0270699",3,"T047","Disease or Syndrome"
"2805","dup15q syndrome","C0039082",3,"T047","Disease or Syndrome"
"2811","familial recurrence","C0149841",3,"T047","Disease or Syndrome"
"2815","primary cultured cortical neurons","C1833299",3,"T033","Finding"
"2817","faster rts","C0032339",3,"T047","Disease or Syndrome"
"2819","primary hypotheses","C2372007",3,"T041","Mental Process"
"2824","environmental chemical exposures","C2135432",3,"T033","Finding"
"2825","false alarms","C1880718",3,"T033","Finding"
"2827","faster reaction","C3842905",3,"T033","Finding"
"2829","environmental stressors","C0596519",3,"T033","Finding"
"2830","febrile seizures","C0009952",3,"T047","Disease or Syndrome"
"2831","prenatal androgen exposure","C0871124",3,"T033","Finding"
"2832","rare genetic variants","C1953337",3,"T033","Finding"
"2833","emotional state","C0935620",3,"T041","Mental Process"
"2834","prenatal malnutrition","C0162429",3,"T047","Disease or Syndrome"
"2835","rare diseases","C0678236",3,"T047","Disease or Syndrome"
"2836","feeling of immediacy","C0557908",3,"T041","Mental Process"
"2837","emotional/behavioral baseline scores","C3263412",3,"T033","Finding"
"2839","prenatal testosterone exposure","C0871124",3,"T033","Finding"
"2843","rapid automatized naming","C2675288",3,"T033","Finding"
"2844","empathic responsiveness","C0564547",3,"T033","Finding"
"2851","failure to thrive","C0015544",3,"T047","Disease or Syndrome"
"2852","pupil dilation","C0026961",3,"T184","Sign or Symptom"
"2856","psychological distress variables","C0815107",3,"T048","Mental or Behavioral Dysfunction"
"2858","psychological conditions","C0009647",3,"T041","Mental Process"
"2860","psychiatric disturbances","C0233514",3,"T048","Mental or Behavioral Dysfunction"
"2861","extreme type e","C0437827",3,"T033","Finding"
"2868","excessive self-grooming","C3686622",3,"T033","Finding"
"2869","excessive social anxiety","C0424166",3,"T048","Mental or Behavioral Dysfunction"
"2874","expression of emotions","C0302826",3,"T048","Mental or Behavioral Dysfunction"
"2876","psychomotor delay","C0424230",3,"T033","Finding"
"2878","episodic memories","C0561843",3,"T041","Mental Process"
"2883","epileptic activity","C1837898",3,"T033","Finding"
"2884","privacy issues","C0080048",3,"T033","Finding"
"2886","facial mimicry","C0233577",3,"T048","Mental or Behavioral Dysfunction"
"2887","psychotic episode","C0338614",3,"T048","Mental or Behavioral Dysfunction"
"2889","essenceearly symptomatic syndromes","C0393699",3,"T047","Disease or Syndrome"
"2891","facial emotions","C0013987",3,"T041","Mental Process"
"2894","face memory deficits","C0233794",3,"T048","Mental or Behavioral Dysfunction"
"2900","emotional facial expression","C0302826",3,"T048","Mental or Behavioral Dysfunction"
"2904","reduced p2-wave amplitude","C4021561",3,"T033","Finding"
"2905","frank et","C0398650",3,"T047","Disease or Syndrome"
"2906","positive interactions","C0518134",3,"T033","Finding"
"2907","fragile × syndrome","C0016667",3,"T047","Disease or Syndrome"
"2908","reduced neuronal proliferation","C3279641",3,"T033","Finding"
"2909","fragile x)","C0016667",3,"T047","Disease or Syndrome"
"2911","positive psychotic","C0033975",3,"T048","Mental or Behavioral Dysfunction"
"2912","early dysregulation","C0813142",3,"T047","Disease or Syndrome"
"2915","early psychotic symptoms","C0871189",3,"T184","Sign or Symptom"
"2919","post-traumatic stress disorders","C0038436",3,"T048","Mental or Behavioral Dysfunction"
"2920","eating disorder","C0013473",3,"T048","Mental or Behavioral Dysfunction"
"2921","ebp fidelity","C0680011",3,"T054","Social Behavior"
"2922","focal disorganisation","C0036347",3,"T048","Mental or Behavioral Dysfunction"
"2923","e/i balance","C0437362",3,"T033","Finding"
"2926","frequent eye contact","C0870532",3,"T054","Social Behavior"
"2927","duration of face-to-face behavior","C2148589",3,"T033","Finding"
"2929","dyadic interaction","C0596467",3,"T054","Social Behavior"
"2935","frequent infections","C0239998",3,"T033","Finding"
"2936","reduced sociability","C0558182",3,"T054","Social Behavior"
"2946","reduced preference","C0582062",3,"T055","Individual Behavior"
"2954","financial stress variables","C0557181",3,"T033","Finding"
"2965","emotion regulation problems","C0677660",3,"T048","Mental or Behavioral Dysfunction"
"2966","rbs-r self-injurious behaviour","C0085271",3,"T055","Individual Behavior"
"2968","emotional abuse","C0730557",3,"T048","Mental or Behavioral Dysfunction"
"2971","recurrent ear infections","C0743360",3,"T033","Finding"
"2972","elevated levels of stress","C0236175",3,"T033","Finding"
"2974","reduced adaptive behaviors","C0085880",3,"T055","Individual Behavior"
"2976","posttraumatic stress disorder","C0038436",3,"T048","Mental or Behavioral Dysfunction"
"2979","prader-willi syndrome","C0032897",3,"T047","Disease or Syndrome"
"2982","pragmatic difficulties","C4274555",3,"T033","Finding"
"2985","first-episode psychosis","C0338614",3,"T048","Mental or Behavioral Dysfunction"
"2989","pragmatic language impairment","C0454622",3,"T048","Mental or Behavioral Dysfunction"
"2990","pragmatic language interventions","C0871858",3,"T054","Social Behavior"
"2993","five psychiatric disorders","C0004936",3,"T048","Mental or Behavioral Dysfunction"
"2994","red dots","C1710104",3,"T033","Finding"
"2997","increased aggression","C0001807",3,"T055","Individual Behavior"
"3001","neuropsychiatric problems","C0752335",3,"T047","Disease or Syndrome"
"3002","social behavior deficits","C0562445",3,"T033","Finding"
"3009","cognition deficits","C0009241",3,"T048","Mental or Behavioral Dysfunction"
"3011","cognitive challenges","C0009240",3,"T041","Mental Process"
"3013","imbalance between csf production","C4062479",3,"T033","Finding"
"3014","cognitive defects","C0338656",3,"T048","Mental or Behavioral Dysfunction"
"3015","cognitive deficit","C0009241",3,"T048","Mental or Behavioral Dysfunction"
"3016","cognitive dysfunctions","C0338656",3,"T048","Mental or Behavioral Dysfunction"
"3019","cognitive errors","C4067982",3,"T033","Finding"
"3020","neuropsychiatric comorbidity","C0009488",3,"T033","Finding"
"3023","impaired cognitive flexibility","C2370892",3,"T041","Mental Process"
"3025","solve problems","C0033211",3,"T041","Mental Process"
"3028","socialization selfhood behavior socialization selfhood behavior","C0037397",3,"T054","Social Behavior"
"3029","neuronal morphology","C0266491",3,"T047","Disease or Syndrome"
"3030","social traits","C0037401",3,"T055","Individual Behavior"
"3032","social rejection","C0237827",3,"T033","Finding"
"3033","clinical psychotic disorder","C0033975",3,"T048","Mental or Behavioral Dysfunction"
"3035","clinical symptom severity","C1319166",3,"T033","Finding"
"3036","clinically manifest disease","C4231046",3,"T033","Finding"
"3038","clinically significant symptoms","C2826293",3,"T033","Finding"
"3041","immunological disorders","C0021053",3,"T047","Disease or Syndrome"
"3043","social communication traits","C0037401",3,"T055","Individual Behavior"
"3044","cognitive functions","C0392335",3,"T041","Mental Process"
"3045","cognitive orientation","C0029266",3,"T041","Mental Process"
"3048","comorbid depression","C0009488",3,"T033","Finding"
"3049","comorbid diagnosis","C0009488",3,"T033","Finding"
"3051","comorbid medical conditions","C1275743",3,"T033","Finding"
"3054","comorbidity of adhd","C1263846",3,"T048","Mental or Behavioral Dysfunction"
"3058","comorbid adhd diagnosis","C2945552",3,"T048","Mental or Behavioral Dysfunction"
"3059","hypersocial phenotype","C1292209",3,"T033","Finding"
"3060","hypersensitivity to sensory stimuli","C1855589",3,"T033","Finding"
"3061","non-social symptoms","C0037421",3,"T054","Social Behavior"
"3064","non-symbolic conditions","C0039034",3,"T041","Mental Process"
"3065","non-symbolic t","C0039034",3,"T041","Mental Process"
"3068","comorbid anxiety disorder","C0009488",3,"T033","Finding"
"3069","sleeping problems","C0851578",3,"T048","Mental or Behavioral Dysfunction"
"3070","small reward","C0035397",3,"T041","Mental Process"
"3072","cognitive-emotional interactions","C2009191",3,"T033","Finding"
"3073","cognitively-able adolescents","C3825363",3,"T041","Mental Process"
"3081","colors—happy faces","C3280055",3,"T033","Finding"
"3086","common cognitive impairments","C3552350",3,"T033","Finding"
"3089","non verbal communication","C0558264",3,"T033","Finding"
"3092","somatic disorders","C0520482",3,"T048","Mental or Behavioral Dysfunction"
"3093","impaired response inhibition","C1510574",3,"T041","Mental Process"
"3097","nasal congestion","C0027424",3,"T184","Sign or Symptom"
"3099","cerebrospinal fluid decreased","C0234565",3,"T033","Finding"
"3107","ssrs problem behaviors","C0233514",3,"T048","Mental or Behavioral Dysfunction"
"3110","change in behavior","C0542299",3,"T055","Individual Behavior"
"3113","srs total scores","C0175693",3,"T047","Disease or Syndrome"
"3115","srs total raw scores","C4066052",3,"T033","Finding"
"3116","increase in respiratory rate","C0231835",3,"T033","Finding"
"3117","cerebellar ataxia","C0007758",3,"T047","Disease or Syndrome"
"3118","incomplete penetrance","C1836598",3,"T033","Finding"
"3119","myoclonic seizures","C0014550",3,"T047","Disease or Syndrome"
"3120","cbcl aggressive behaviour","C0001807",3,"T055","Individual Behavior"
"3122","stereotyped/repetitive motion","C0038271",3,"T055","Individual Behavior"
"3123","stereotyped stereotyped behavior","C0038271",3,"T055","Individual Behavior"
"3124","stereotyped repetitive behaviors","C0038271",3,"T055","Individual Behavior"
"3125","stereotyped patterns of behavior","C0038271",3,"T055","Individual Behavior"
"3126","stereotyped patterns","C4064201",3,"T033","Finding"
"3127","stereotyped or repetitive motor movements","C0038271",3,"T055","Individual Behavior"
"3133","stereotyped and repetitive behaviors","C0038271",3,"T055","Individual Behavior"
"3140","neonatal anemia","C0002891",3,"T047","Disease or Syndrome"
"3141","change in the srs","C0175693",3,"T047","Disease or Syndrome"
"3142","source memory difficulties","C1843862",3,"T033","Finding"
"3144","neurodevelopmental delay","C4022738",3,"T033","Finding"
"3145","specific learning disabilities","C4025790",3,"T048","Mental or Behavioral Dysfunction"
"3147","impairments in language","C0023015",3,"T048","Mental or Behavioral Dysfunction"
"3152","specific behaviors","C0679160",3,"T055","Individual Behavior"
"3153","neurological conditions","C0524851",3,"T047","Disease or Syndrome"
"3154","childhood disorder","C0679381",3,"T047","Disease or Syndrome"
"3155","neurological diseases","C2015799",3,"T047","Disease or Syndrome"
"3157","impairment in communication","C0009460",3,"T048","Mental or Behavioral Dysfunction"
"3158","neurological or psychiatric disorders","C2707264",3,"T048","Mental or Behavioral Dysfunction"
"3159","chronic abdominal pain","C0232491",3,"T184","Sign or Symptom"
"3160","chronic constipation","C0401149",3,"T184","Sign or Symptom"
"3161","chronic diseases","C0008679",3,"T047","Disease or Syndrome"
